source_dataset,source_row_id,property_family,governorate,delegation,city,location,surface_m2,rooms,bathrooms,price_tnd
data_prices_cleaned,1819,apartment,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",88.5,2.0,1.0,177000.0
data_prices_cleaned,1820,house,Tunis,El Omrane Suprieur,El Omrane Suprieur,"Tunis,El Omrane Suprieur",160.0,6.0,2.0,490000.0
data_prices_cleaned,1823,house,Monastir,Ksar Hellal,Ksar Hellal,"Monastir,Ksar Hellal",400.0,1.0,2.0,410000.0
data_prices_cleaned,1824,house,Monastir,Ksar Hellal,Ksar Hellal,"Monastir,Ksar Hellal",421.0,6.0,4.0,519000.0
data_prices_cleaned,1825,house,Monastir,Ksar Hellal,Ksar Hellal,"Monastir,Ksar Hellal",464.0,4.0,2.0,630000.0
data_prices_cleaned,1827,house,Monastir,Ksar Hellal,Ksar Hellal,"Monastir,Ksar Hellal",370.0,3.0,2.0,430000.0
data_prices_cleaned,1828,house,Monastir,Ksar Hellal,Ksar Hellal,"Monastir,Ksar Hellal",349.0,8.0,4.0,948000.0
data_prices_cleaned,1829,house,Monastir,Ksar Hellal,Ksar Hellal,"Monastir,Ksar Hellal",180.0,2.0,2.0,380000.0
data_prices_cleaned,1833,house,Monastir,Ksar Hellal,Ksar Hellal,"Monastir,Ksar Hellal",467.0,3.0,2.0,490000.0
data_prices_cleaned,1834,house,Gafsa,Sened,Sened,"Gafsa,Sened",240.0,4.0,2.0,250000.0
data_prices_cleaned,1837,house,La Manouba,La Manouba,La Manouba,"La Manouba,La Manouba",70.0,3.0,1.0,150000.0
data_prices_cleaned,1838,apartment,Ben Arous,Mornag,Mornag,"Ben Arous,Mornag",90.0,2.0,1.0,145000.0
data_prices_cleaned,1839,apartment,Tunis,Le Kram,Le Kram,"Tunis,Le Kram",110.0,1.0,3.0,139000.0
