source_dataset,source_row_id,property_family,governorate,delegation,city,location,surface_m2,rooms,bathrooms,price_tnd
tunisia_real_estate,6519,land,Mahdia,Mahdia,Mahdia,Mahdia,2632.0,0.0,0.0,1052800.0
tunisia_real_estate,6523,house,Ben Arous,Bou Mhel El Bassatine,Bou Mhel El Bassatine,Bou Mhel El Bassatine,280.0,,,550000.0
tunisia_real_estate,6524,house,Tunis,El Menzah,El Menzah,El Menzah,540.0,,,950000.0
tunisia_real_estate,6527,house,Nabeul,Kelibia,Kelibia,Kelibia,420.0,,,520000.0
tunisia_real_estate,6528,land,Sousse,Akouda,Akouda,Akouda,740.0,0.0,0.0,222000.0
tunisia_real_estate,6530,land,Nabeul,Grombalia,Grombalia,Grombalia,10000.0,0.0,0.0,117000.0
tunisia_real_estate,6531,apartment,Tunis,Ain Zaghouan,Ain Zaghouan,Ain Zaghouan,170.0,,,700000.0
tunisia_real_estate,6532,land,Ben Arous,Mornag,Mornag,Mornag,24700.0,0.0,0.0,300000.0
tunisia_real_estate,6533,house,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Hammam El Ghezaz,600.0,,,1100000.0
tunisia_real_estate,6540,land,Nabeul,Soliman,Soliman,Soliman,420.0,0.0,0.0,243600.0
tunisia_real_estate,6541,apartment,Monastir,Monastir,Monastir,Monastir,88.0,,,180000.0
tunisia_real_estate,6542,house,Ariana,Mnihla,Mnihla,Mnihla,151.0,,,240000.0
tunisia_real_estate,6543,apartment,Tunis,Ain Zaghouan,Ain Zaghouan,Ain Zaghouan,180.0,,,520000.0
tunisia_real_estate,6550,land,Medenine,Djerba - Midoun,Djerba - Midoun,Djerba - Midoun,6590.0,0.0,0.0,165000.0
tunisia_real_estate,6551,house,Ariana,La Soukra,La Soukra,La Soukra,430.0,,,1450000.0
tunisia_real_estate,6554,apartment,Tunis,El Menzah,El Menzah,El Menzah,136.0,,,465000.0
tunisia_real_estate,6556,land,Ariana,Raoued,Raoued,Raoued,1886.0,0.0,0.0,3400000.0
tunisia_real_estate,6557,house,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,683.0,,,1480000.0
tunisia_real_estate,6558,house,Nabeul,Hammamet,Hammamet,Hammamet,200.0,,,170000.0
tunisia_real_estate,6560,apartment,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Hammam El Ghezaz,105.0,,,200000.0
tunisia_real_estate,6563,house,Ariana,Raoued,Raoued,Raoued,315.0,,,400000.0
tunisia_real_estate,6564,apartment,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,60.0,,,180000.0
tunisia_real_estate,6569,land,Monastir,Monastir,Monastir,Monastir,840.0,0.0,0.0,840000.0
tunisia_real_estate,6570,land,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Hammam El Ghezaz,5396.0,0.0,0.0,480000.0
tunisia_real_estate,6573,land,Nabeul,Hammamet,Hammamet,Hammamet,680.0,0.0,0.0,476000.0
tunisia_real_estate,6578,house,Nabeul,Hammamet,Hammamet,Hammamet,400.0,,,700000.0
tunisia_real_estate,6583,apartment,Ben Arous,Ezzahra,Ezzahra,Ezzahra,100.0,,,145000.0
tunisia_real_estate,6587,apartment,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,125.0,,,130000.0
tunisia_real_estate,6590,apartment,Ben Arous,Nouvelle Medina,Nouvelle Medina,Nouvelle Medina,118.0,,,272000.0
tunisia_real_estate,6593,apartment,Tunis,El Kabbaria,El Kabbaria,El Kabbaria,77.0,,,120000.0
tunisia_real_estate,6594,apartment,Ariana,La Soukra,La Soukra,La Soukra,100.0,,,250000.0
tunisia_real_estate,6597,house,Nabeul,Hammamet,Hammamet,Hammamet,60.0,,,950000.0
tunisia_real_estate,6598,house,Sousse,Sousse Ville,Sousse Ville,Sousse Ville,1606.0,,,1500000.0
tunisia_real_estate,6599,apartment,Tunis,El Menzah,El Menzah,El Menzah,30.0,,,100000.0
tunisia_real_estate,6602,house,Nabeul,Hammamet,Hammamet,Hammamet,140.0,,,1500000.0
tunisia_real_estate,6603,apartment,Tunis,La Marsa,La Marsa,La Marsa,278.0,,,420000.0
tunisia_real_estate,6604,house,Nabeul,Soliman,Soliman,Soliman,920.0,,,400000.0
